pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_COMPLEMENT	0.00274243570869148	0.0114268154528812	0.431707695803346	0.365054245477921	1.59197263343264	117	IRF1 HSPA1A CA2 VCPIP1 BRPF3 CCL5 USP16 PLAUR DOCK10 HSPA5 LYN PIK3CG IRF7 CALM1 GRB2 MSRB1 IRF2 CTSS S100A13 EHD1 ITGAM SRC S100A9 FCER1G SERPINA1 APOBEC3F USP8 PRKCD PDP1 LCP2 CBLB PLEK CALM3 WAS RBSN CTSH SH2B3 LGALS3 RHOG CTSB CTSD CASP10 RAF1 PIK3CA PSMB9 LTA4H ADAM9 CASP1 GNAI2 ANXA5 RABIF TIMP1 DUSP5 PRCP STX4 JAK2 GNG2 FYN PIK3R5 GNB2 PPP2CB AKAP10 PLA2G4A MAFF SIRT6 PLSCR1 PRSS36
HALLMARK_DNA_REPAIR	0.688715953307393	0.819899944413563	0.0985499803531691	-0.183453942481669	-0.91266302177695	143	NME4 GTF2A2 ERCC8 POLR1H BOLA2 RALA HPRT1 GMPR2 POLR2G POLR2I DDB1 POLR2H AK3 POLR2C DAD1 NME1 IMPDH2 NCBP2 NELFB BCAP31 APRT TARBP2 PCNA RFC3 BRF2 ZNF707 RFC4 ERCC2 NME3 NT5C3A POLR3GL TMED2 COX17 PDE4B POLR2F SMAD5 GTF2H3 DDB2 ADA RFC5 NELFCD
HALLMARK_E2F_TARGETS	0.0713359273670558	0.163234555499749	0.190023305279108	0.27143019112921	1.25132469855208	186	DNMT1 SPAG5 SMC6 PDS5B RFC1 SMC3 TP53 RAD50 HMMR CDC20 BRCA2 CTCF MXD3 TMPO POLD2 TACC3 PNN SMC1A TOP2A LYAR RFC2 CBX5 KPNA2 LUC7L3 POLD3 LMNB1 HNRNPD SMC4 HMGB3 PTTG1 CDC25B NCAPD2 GINS3 BRCA1 LIG1 CDCA3 HUS1 HMGB2 UBE2S SSRP1 CCNB2 BIRC5 WEE1 CCP110 AK2 DONSON MYBL2 ILF3 BUB1B KIF2C POLA2 ING3 DIAPH3 E2F8 DDX39A
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.239316239316239	0.398860398860399	0.151148761385484	-0.259847891549214	-1.11565546486859	60	COL6A3 MEST MYL9 SPARC AREG SERPINE1 SERPINE2 GADD45A GPX7 ECM1 SERPINH1 THBS1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.182960893854749	0.32671588188348	0.11776578836269	0.271415839673232	1.1622749070048	102	ISG20L2 AFF1 NCOR2 SVIL RBBP8 GAB2 MED13L RRP12 FASN ADCY9 ITPK1 BHLHE40 UNC119 CANT1 SLC9A3R1 MYBBP1A RARA KLF4 SLC1A4 IGF1R RET KDM4B MED24 CD44 FLNB SLC7A5 MINDY1 PPIF
HALLMARK_ESTROGEN_RESPONSE_LATE	0.25085910652921	0.404611462143886	0.163180127180689	-0.233750042108865	-1.11255968090487	108	MEST EGR3 RPS6KA2 TPSAB1 AREG FKBP5 SORD DUSP2 HPRT1 MOCS2 SLC2A8 SLC27A2 COX6C FDFT1 UGDH NAB2 FABP5 METTL3 CHPT1
HALLMARK_FATTY_ACID_METABOLISM	0.000186209662194809	0.00116381038871755	0.518848077743792	-0.365840336746533	-1.74673657029408	119	MLYCD UROD UROS ADSL GRHPR ECHS1 METAP1 GCDH OSTC DLD LTC4S ACSS1 BCKDHB SUCLG1 AUH GLUL HADH PDHB UGDH ECI2 DLST CRYZ APEX1 ACADS SDHC NTHL1 ACAT2 CPT2 PRDX6 HIBCH DHCR24 IDH3B ELOVL5 ECI1 ACAA2 ME1 HSD17B11 ACOT2 ACSM3 HMGCL ACOX1 SMS MDH2 ECH1 MIF ACOT8 NCAPH2 NSDHL CPOX HADHB ODC1 ACADM ACSL5 SDHD FH HSDL2 IDI1 RETSAT VNN1 H2AZ1 EHHADH NBN
HALLMARK_G2M_CHECKPOINT	1.06954846532325e-06	1.33693558165406e-05	0.643551836150722	0.417828945456093	1.90778804006218	176	NUMA1 ARID4A HNRNPU KMT5A ATRX NSD2 KIF20B CASP8AP2 NCL ODF2 LIG3 PDS5B HMMR KPNB1 CDC20 PRPF4B BRCA2 CTCF INCENP NUP50 CHAF1A TMPO TACC3 SFPQ TOP1 SMC1A BCL3 TOP2A POLQ MEIS1 KPNA2 TPX2 TLE3 LMNB1 HNRNPD SMC4 KIF5B SMC2 HMGB3 PTTG1 HMGN2 CDC25B PRC1 HUS1 FOXN3 UBE2S UPF1 CCNB2 TENT4A BIRC5 RBL1 HSPA8 SLC7A5 MYBL2 ILF3 MAP3K20 KIF2C POLA2 ABL1 PAFAH1B1 CDC27 DBF4 DDX39A KIF11 EWSR1 CCNF
HALLMARK_GLYCOLYSIS	0.00367821147724589	0.0141469672201765	0.431707695803346	-0.289739282154435	-1.41184121922287	134	HS2ST1 CITED2 ALDH7A1 B3GALT6 SLC37A4 DLD SRD5A3 DDIT4 ARPP19 SOD1 ALG1 B4GALT7 FAM162A PYGB AK3 CASP6 PPIA B4GALT2 SLC35A3 SDHC AGL BIK ABCB6 HAX1 MPI EXT2 ME1 RRAGD AKR1A1 TXN QSOX1 GLCE GFUS B3GAT3 CHPF2 CTH PAM GALK2 MDH2 TALDO1 SAP30 RPE COPB2 MIF EFNA3
HALLMARK_HEDGEHOG_SIGNALING	0.0625	0.163234555499749	0.237793834423688	0.53956900508256	1.51144272595807	14	MYH9 OPHN1 TLE3 VEGFA NF1 TLE1 PML DPYSL2
HALLMARK_HEME_METABOLISM	0.79144385026738	0.88647670737223	0.0379271467108098	0.19079004621052	0.850803406700621	145	CIR1 NFE2L1 TNRC6B GAPVD1 CAST CA2 PPP2R5B MARK3 DAAM1 SNCA SMOX SLC25A37 TOP1 SYNJ1 ATG4A FBXO34 HBB VEZF1 FBXO9 SIDT2 CLCN3 SLC22A4 KAT2B BTRC EZH1 ACP5 KHNYN RBM5 PIGQ MAP2K3 HDGF NR3C1 PICALM CDC27 HAGH EPOR ALAD KDM7A BLVRB BLVRA
HALLMARK_HYPOXIA	0.290366350067843	0.439949015254307	0.0875697115548511	0.249251815662211	1.09183195263797	124	NDRG1 ZNF292 NOCT MYH9 VHL HDLBP PPP1R15A IRS2 PLAUR JUN HSPA5 FOSL2 MAP3K1 BHLHE40 VEGFA JMJD6 ERO1A SLC6A6 ANXA2 DDIT3 ZFP36 PFKFB3 NFIL3 FBP1 ADM NAGK SLC2A3 KLHL24 NR3C1 PNRC1 NDST2 KDM3A BTG1 GLRX
HALLMARK_IL2_STAT5_SIGNALING	0.630936227951153	0.769434424330675	0.0489954089862481	0.21034147222427	0.926133641178529	131	NDRG1 MAPKAPK2 CA2 PLEC POU2F1 DENND5A TRAF1 LRRC8C AHR FLT3LG AHNAK BHLHE40 HIPK2 PHLDA1 MXD1 HUWE1 SNX14 TNFSF10 CD83 NOP2 NFKBIZ DCPS IGF1R IRF8 CKAP4 NFIL3 ARL4A NCOA3 CD44 CD86 CAPG SLC2A3 TNFRSF1B CTSZ IL4R IL10RA GADD45B GPR65 IGF2R PNP COCH
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.481481481481482	0.633528265107213	0.0678338263479455	0.260249973794734	0.993985059532757	56	TYK2 IRF1 STAT2 JUN IL17RA PTPN2 STAM2 GRB2 CD44 CSF3R CCR1 TLR2 IRF9 LTBR TNFRSF1B IL4R IL1B
HALLMARK_INFLAMMATORY_RESPONSE	0.0313748004851546	0.087152223569874	0.321775918075361	0.327404437438625	1.40215080715938	104	LDLR IRF1 PTPRE NFKB1 CCL5 PLAUR EIF2AK2 RELA LYN AHR P2RX7 CCRL2 ICAM1 IRF7 ITGA5 MXD1 SEMA4D TNFSF10 TLR1 CSF3R NLRP3 ATP2B1 ADM TLR2 RIPK2 LCP2 NOD2 NFKBIA TNFRSF1B IL4R CYBB IL10RA IL1B IFITM1 CHST2 RHOG HBEGF TAPBP CDKN1A HIF1A RAF1 IRAK2 NAMPT PVR EMP3 SGMS2 TIMP1 CD82 SLC31A1 KIF1B GCH1 P2RX4 IFNGR2 PIK3R5 CD48 BST2
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.000715846978134638	0.00325384990061199	0.477270815362862	0.423529807091783	1.76025562938608	85	IRF1 TRIM25 NUB1 SAMD9L IFIT2 EIF2AK2 STAT2 PARP14 OGFR CCRL2 IFIT3 MX1 IRF7 IFITM2 SP110 PNPT1 ADAR CASP8 SAMD9 IRF2 IFI30 TRIM26 TRIM21 RIPK2 TENT5A TDRD7 IRF9 IFIH1 CNP WARS1 SLC25A28 IL4R OAS1 CD74 GBP2 IFITM1 PARP9 HLA-C ELF1 ISG15 IFI35 PSMB9 TRAFD1 CASP1 EPSTI1 PSME2 RNF31 USP18 TRIM14
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.83670863733188e-05	0.000183670863733188	0.575610261071129	0.395593590725367	1.79339710688336	162	IRF1 XAF1 ZNFX1 NLRC5 NFKB1 TNFAIP2 TRIM25 CCL5 RIPK1 RNF213 SAMD9L RAPGEF6 IFIT2 EIF2AK2 STAT2 LATS2 APOL6 PARP14 OGFR ICAM1 IFIT3 MX1 IRF7 ARID5B IFITM2 MVP PTPN2 SP110 PNPT1 ADAR TNFSF10 CASP8 METTL7B IRF2 IFI30 IRF8 ARL4A NCOA3 SOD2 ST8SIA4 TRIM26 CD86 TRIM21 RIPK2 LCP2 TDRD7 IRF9 FCGR1A NFKBIA IFIH1 HLA-B WARS1 SLC25A28 IL4R IFNAR2 HLA-A BTG1 IL18BP PSMB2 IL10RA CD74 PTPN6 PNP IFIT1 IRF5 OAS2 TAPBP CDKN1A HIF1A PELI1 ISG15 SAMHD1 IFI35 DDX58 PSMB9 TRAFD1 CASP1 NAMPT EPSTI1 PSME2 FGL2 OAS3 RNF31 USP18 TRIM14 CIITA MYD88 MX2 JAK2 PML GCH1 RSAD2 B2M HELZ2
HALLMARK_KRAS_SIGNALING_DN	0.987220447284345	0.997175141242938	0.0359208664409425	0.166621589311455	0.594406261451092	42	KMT2D MAST3 MSH5 MX1 IDUA CLSTN3 SLC29A3 MTHFR BARD1 CHST2 DTNB CPEB3
HALLMARK_KRAS_SIGNALING_UP	0.0687679083094556	0.163234555499749	0.204294756516886	0.312486426916274	1.30960407755706	93	CBX8 NIN TOR1AIP2 DNMBP CA2 MTMR10 PPP1R15A PLAUR TRAF1 MAP3K1 CCSER2 ADGRA2 ERO1A KLF4 TRIB1 EVI5 LCP1 IKZF1 CTSS CAB39L AKT2 IRF8 FCER1G PRDM1 DOCK2 PECAM1 STRN AVL9 ADAM8 BIRC3 TNFRSF1B LY96 MAP4K1 GLRX IL10RA IL1B
HALLMARK_MITOTIC_SPINDLE	1.29022004778342e-12	3.22555011945855e-11	0.910119734774459	0.525928777192376	2.39370019122258	167	MYO9B NIN CCDC88A NUMA1 CNTRL PLEKHG2 TAOK2 MARK4 CLIP1 APC PCNT MYH9 SPTAN1 CDK5RAP2 PCM1 OPHN1 CNTROB ALMS1 KIF20B AKAP13 ACTN4 RFC1 CEP250 SMC3 TLK1 ABR ROCK1 CSNK1D DYNC1H1 CENPJ BRCA2 HOOK3 INCENP RAPGEF6 FLNA RANBP9 ANLN SMC1A KIF3B CKAP5 TOP2A MID1IP1 EPB41L2 TUBA4A SPTBN1 TPX2 TSC1 LMNB1 ARHGDIA SMC4 ARHGAP27 KIF5B NEDD9 SOS1 ARHGAP4 STAU1 PRC1 CCNB2 BIRC5 CEP131 RHOT2 FLNB ARHGEF7 TRIO CLIP2 DOCK2 EZR BCL2L11 KNTC1 KIF2C TUBGCP6 ARHGEF11 ABL1 MAP3K11 PAFAH1B1 CDC27 CLASP1 KIF11 SSH2 MAP1S HDAC6 NF1
HALLMARK_MTORC1_SIGNALING	0.409691629955947	0.553637337778307	0.142901149386948	-0.198617550156338	-1.02181222012912	187	MTHFD2L ATP5MC1 CCNG1 PSMD14 GBE1 TCEA1 CCT6A SORD SLC37A4 HPRT1 DDIT4 PSMB5 MLLT11 QDPR EDEM1 PSMA3 PSMD13 UCHL5 RRP9 PPIA UNG COPS5 USO1 TXNRD1 RPA1 GMPS TM7SF2 FDXR DHCR24 SERPINH1 SQLE CTSC SHMT2 ELOVL5 ACTR2 PSMG1 ME1
HALLMARK_MYC_TARGETS_V1	6.22790651830806e-12	1.03798441971801e-10	0.887074988399873	-0.434423948271678	-2.26186017178442	199	PSMD14 EIF2S1 SLC25A3 EIF4E GLO1 RPS2 RPL18 PSMA1 RPL34 XRCC6 PSMA2 CCT2 RPS10 SSBP1 HDAC2 SNRPD1 SNRPB2 EIF1AX LSM2 EIF3J VBP1 UBE2E1 HPRT1 PSMD3 DHX15 EXOSC7 TOMM70 RPS6 CCT5 RPL14 PRDX4 CYC1 PSMA6 NME1 RPL22 TUFM IMPDH2 MRPL9 RRP9 RPS5 PA2G4 PPIA RPLP0 APEX1 NDUFAB1 NCBP2 VDAC1 RACK1 PSMA7 STARD7 C1QBP UBA2 TCP1 NHP2 FBL TARDBP COPS5 NPM1 CDK4 MRPS18B EIF4H SNRPD2 HDDC2 IARS1 RANBP1 PCNA RFC4 EEF1B2 CCT4 RPS3 PWP1 CBX3 EIF3D SYNCRIP VDAC3 ERH MAD2L1 PSMA4 RRM1 EIF3B UBE2L3
HALLMARK_MYC_TARGETS_V2	0.0718232044198895	0.163234555499749	0.282013350011725	-0.319413994602519	-1.3584343619016	55	DCTPP1 NDUFAF4 SORD DUSP2 RRP9 EXOSC5 PA2G4 RCL1 PRMT3 UNG NPM1 IPO4 CDK4 TFB2M NIP7 FARSA
HALLMARK_MYOGENESIS	0.22108345534407	0.38117837128288	0.108394255853397	0.280811547745169	1.13278297596957	73	MYH9 SPTAN1 PLXNB2 SVIL NOTCH1 MEF2D FLII PDLIM7 ADCY9 BHLHE40 HDAC5 SORBS3 LSP1
HALLMARK_NOTCH_SIGNALING	0.327022375215146	0.480915257669333	0.0943563635421779	0.372963821972001	1.10352155985421	18	DTX2 NOTCH1 TCF7L2 ST3GAL6
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4.70584929614821e-14	2.35292464807411e-12	0.965327754226083	-0.457577994235116	-2.3775026061367	197	ATP5MC1 UQCRH SLC25A3 ATP5F1A DLAT TOMM22 ECHS1 ATP5PF PMPCA LRPPRC COX11 ATP5F1D ACADSB NDUFB1 NDUFS4 CS DLD NDUFB6 COX15 TOMM70 ATP5MC2 COX7C SUCLG1 COX6C NDUFA8 CYC1 SLC25A12 PDHB MRPL15 ETFA MRPS22 LDHB TIMM9 NDUFB8 DLST NDUFA7 SLC25A5 NDUFAB1 MTX2 HTRA2 ATP5MC3 VDAC1 NNT ATP5F1C NDUFS1 ABCB7 TIMM50 SDHC NDUFB5 COX6A1 ISCA1 NDUFC2 COX7A2L TIMM17A SLC25A6 ATP6V1H MRPL11 IDH2 IDH3B ECI1 COX7A2 ACAA2 NQO2 TIMM13 OXA1L VDAC3 COX17 ATP5PB NDUFA3 NDUFB3 FXN POLR2F MFN2 MDH2 ATP5MF VDAC2 MRPS12 OAT NDUFS2 PHYH ECH1 ATP5ME BCKDHA NDUFA5 ATP1B1 ALDH6A1 HADHB ETFB ACADM BAX COX4I1 PRDX3 TIMM10 ATP6V0E1 SDHD SLC25A20 GOT2
HALLMARK_P53_PATHWAY	0.516	0.661538461538462	0.118815039412263	-0.194356708160428	-0.980533199775157	156	RPL36 CCNG1 TPRKB TRIAP1 RPS12 HDAC3 RPL18 ZMAT3 NUDT15 STOM CGRRF1 ANKRA2 BAK1 DDIT4 FAM162A SOCS1 RAD51C LDHB GADD45A F2R CCND2 RACK1 MAPKAPK3 TSC22D1 RPS27L HINT1 ELP1 FDXR PCNA AEN CTSF SESN1 ZBTB16 VWA5A STEAP3 PRKAB1 WRAP73 COQ8A BLCAP CSRNP2
HALLMARK_PANCREAS_BETA_CELLS	0.106430155210643	0.212860310421286	0.204294756516886	-0.518051322798255	-1.43012290028302	11	ELP4 AKT3 SPCS1 SRP9 SRP14 SRPRB
HALLMARK_PEROXISOME	0.0203784070182391	0.0628019001382012	0.352487857583619	-0.313138325228461	-1.39613282373498	76	MLYCD ABCD3 SLC35B2 PEX5 SOD1 SLC27A2 PEX6 PEX2 ECI2 SLC25A17 PEX11B ISOC1 DHCR24 IDH2 GNPAT SLC25A19 ELOVL5 CDK7 MSH2 HSD17B11 ITGB1BP1 HMGCL ACOX1 FADS1 PEX11A ECH1 ACOT8 PRDX5 PEX13 ACSL5 CLN6 FDPS IDI1 RETSAT HRAS EHHADH PRDX1 SCP2 ABCB9 CTPS1 NUDT19 IDH1 ACSL4 ABCC5 SMARCC1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.390243902439024	0.542005420054201	0.0747385227439092	0.24884625511184	1.03348474937341	86	HSP90B1 RIPK1 STAT2 MAP2K6 RPTOR MAPKAP1 ARHGDIA PRKAR2A DDIT3 GRB2 PRKCB TBK1 PLCB1 ARPC3 ECSIT CAB39L IRAK4 PAK4 RAC1 MKNK2 MAP2K3 MKNK1 GSK3B RIT1 ATF1 GRK2 DAPP1 AKT1 NFKBIB CDKN1A RAF1 SQSTM1 ITPR2 SMAD2 MYD88
HALLMARK_PROTEIN_SECRETION	0.905723905723906	0.979995374653099	0.0753093764172773	-0.175600054933365	-0.801342964339495	84	LMAN1 CLN5 SOD1 COPB1 BET1 STAM USO1 AP2M1 ERGIC3 TPD52 AP2B1 ATP6V1H CTSC OCRL VAMP7 TMED2 BNIP3 DNM1L PAM RPS6KA3 TMX1 COPB2 SCAMP1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.921195652173913	0.979995374653099	0.0637845390312975	-0.1800612958759	-0.729503444323249	47	GLRX2 LAMTOR5 SOD1 PRDX4 MPO TXNRD1 PRDX6 ERCC2 TXN
HALLMARK_SPERMATOGENESIS	0.1046875	0.212860310421286	0.170932335370056	0.340274074543008	1.28713506466042	55	NF2 CSNK2A2 MAST2 ZC3H14 CLPB CHFR IDE TLE4 HSPA1L STAM2 SIRT1 PRKAR2A MTOR CCNB2 ARL4A PHF7 NCAPH PARP2 KIF2C
HALLMARK_TGF_BETA_SIGNALING	0.105691056910569	0.212860310421286	0.173747838999571	0.375511810226652	1.31831455671912	39	ARID4B TRIM33 APC NCOR2 PPP1R15A SMURF1 SPTBN1 HIPK2 CDK9 SKI SMURF2 ACVR1 TGFBR1 PPM1A
HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.87257238840643e-05	0.000489381032367202	0.557332238758646	0.39748389417281	1.77665116754933	146	LDLR IRF1 KDM6B PTPRE NFKB1 TNIP1 TNFAIP2 FOSL1 CCL5 NFKBIE PPP1R15A IRS2 CCNL1 NFAT5 PLAUR NFE2L2 IFIT2 JUN DENND5A RELA FOSL2 TRAF1 NFKB2 BCL3 ZC3H12A BHLHE40 CCRL2 ICAM1 VEGFA NINJ1 PHLDA1 MXD1 SERPINB8 KLF4 TRIB1 CD83 REL FUT4 ZFP36 FOSB CFLAR PFKFB3 EHD1 CEBPD NFIL3 PER1 CD44 SOD2 TANK ATP2B1 TLR2 RIPK2 DNAJB4 SLC2A3 MAP2K3 NFKBIA IFIH1 BIRC3 IER5 PNRC1 PLEK BCL2A1 SLC2A6 BTG1 RNF19B GADD45B IL1B
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.544692737430168	0.68086592178771	0.0571258510018113	0.223206154070751	0.955828194396521	102	TSPYL2 DCTN1 HSP90B1 ZBTB17 KHSRP EIF4G1 CNOT4 NOP14 EXOSC10 HSPA5 SDAD1 DNAJA4 VEGFA NFYA ERO1A KIF5B EDC4 CEBPG SLC1A4 YWHAZ DCP1A ERN1 SLC7A5 HERPUD1 CNOT6 EIF2AK3 DNAJC3 ATP6V0D1 EXOSC9 CXXC1 HYOU1 NOLC1 IFIT1 EIF4A1
HALLMARK_UV_RESPONSE_DN	0.113018597997139	0.217343457686805	0.156312403073186	0.304400061666662	1.24984139124931	80	CDK13 PHF3 NIPBL LDLR MGLL ATRX MTA1 NFKB1 SCAF8 DBP PIK3CD BHLHE40 DYRK1A PRDM2 ANXA2 SIPA1L1 RXRA IGF1R TENT4A SYNE1 ZMIZ1 ATP2B1
HALLMARK_UV_RESPONSE_UP	0.00789316412171643	0.028189871863273	0.380730400722792	0.351684743542251	1.51635884414548	112	AGO2 IRF1 NXF1 HNRNPU DLG4 STIP1 MARK2 PRPF3 DNAJB1 CA2 CDC5L NAT1 DNAJA1 LYN BID TUBA4A RAB27A WIZ ICAM1 EIF5 GRPEL1 CEBPG PSMC3 PDAP1 RET FOSB SOD2 AP2S1 PRKACA PPIF PARP2 BCL2L11 PRKCD ARRB2 ALAS1 NFKBIA CNP HLA-F
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.266009852216749	0.41564039408867	0.103958471559957	0.356118405180459	1.16374361011822	25	NCOR2 NOTCH1 TP53 AXIN1 HDAC5 MAML1 NUMB FZD1 FRAT1
HALLMARK_XENOBIOTIC_METABOLISM	0.0145023078161581	0.0483410260538604	0.380730400722792	-0.300455032914411	-1.43309654451098	106	PYCR1 AHCY COMT MAN1A1 HPRT1 FAH DDAH2 ARPP19 SERPINE1 CROT GSTO1 CASP6 UGDH HACL1 MCCC2 AKR1C3 PTGR1 ADH5 PGRMC1 ENTPD5 SHMT2 ELOVL5 PEMT CNDP2 SLC46A3 GART ACOX1 MARCHF6 CYP2S1 ACP1 ECH1 DDT SLC35D1 PSMB10 TNFRSF1A
